Filename,PSNR,SSIM
rect_1.jpg,17.7399,0.7872
rect_2.jpg,17.1395,0.7452
rect_3.jpg,15.2742,0.8119
rect_4.jpg,19.7351,0.8558
rect_5.jpg,17.928,0.7377
rect_6.jpg,10.8281,0.5382
rect_7.jpg,15.4453,0.8
rect_8.jpg,16.2847,0.4634
rect_9.jpg,16.2585,0.6801
rect_10.jpg,17.5733,0.709
rect_11.jpg,18.508,0.7626
rect_12.jpg,13.3087,0.7028
rect_13.jpg,17.2862,0.8276
rect_14.jpg,16.4632,0.7465
rect_15.jpg,24.1729,0.877
rect_16.jpg,16.6706,0.8028
rect_17.jpg,18.9328,0.7083
rect_18.jpg,18.9268,0.673
rect_19.jpg,23.2887,0.9083
rect_20.jpg,19.1804,0.7948
RATA-RATA,17.547245,0.74661
