Filename,PSNR,SSIM
rect_1.jpg,16.6697,0.6859
rect_2.jpg,15.0966,0.6797
rect_3.jpg,18.9106,0.7333
rect_4.jpg,17.1528,0.7391
rect_5.jpg,16.0825,0.7013
rect_6.jpg,16.376,0.6039
rect_7.jpg,18.7588,0.7295
rect_8.jpg,13.583,0.4572
rect_9.jpg,19.7021,0.7057
rect_10.jpg,19.366,0.6909
rect_11.jpg,19.9107,0.7412
rect_12.jpg,15.7421,0.7002
rect_13.jpg,20.4395,0.7747
rect_14.jpg,17.9975,0.707
rect_15.jpg,18.5868,0.7311
rect_16.jpg,19.9483,0.7631
rect_17.jpg,18.9311,0.6827
rect_18.jpg,18.4217,0.6511
rect_19.jpg,20.3618,0.8001
rect_20.jpg,18.3749,0.7385
RATA-RATA,18.020625000000003,0.70081
