epoch	train_loss	val_loss	val_psnr	val_ssim
1	0.483450	0.539343	10.9449	0.5664
2	0.329978	0.275829	16.2299	0.7026
3	0.252605	0.197460	17.7876	0.8578
4	0.198787	0.163800	19.8802	0.8972
5	0.164353	0.136380	21.3911	0.9127
6	0.144312	0.114990	21.5761	0.9156
7	0.126486	0.115685	22.7437	0.9233
8	0.112471	0.103899	20.3899	0.9268
9	0.125202	0.112545	21.0309	0.9173
10	0.106809	0.145968	18.5289	0.8379
11	0.097634	0.084404	24.2155	0.9411
12	0.085708	0.079992	24.8323	0.9445
13	0.080713	0.079866	24.8128	0.9440
14	0.081461	0.076697	25.6366	0.9465
15	0.077631	0.078434	25.2210	0.9509
16	0.073882	0.098061	22.2052	0.9367
17	0.090102	0.106881	19.9573	0.9244
18	0.084759	0.078648	24.8655	0.9493
19	0.075639	0.082554	24.6518	0.9491
20	0.074821	0.080116	24.7817	0.9498
21	0.072944	0.081752	24.4134	0.9479
22	0.073337	0.080394	24.4021	0.9490
23	0.071116	0.080112	24.6893	0.9543
24	0.067786	0.080789	24.8618	0.9523
25	0.072842	0.079520	23.8691	0.9511
26	0.069487	0.078752	25.3377	0.9532
27	0.065566	0.081542	24.8079	0.9565
28	0.065260	0.081607	25.0352	0.9548
29	0.065298	0.082341	24.7953	0.9571
30	0.064587	0.082292	24.6474	0.9516
31	0.061876	0.081072	25.3244	0.9520
32	0.061591	0.081296	25.2238	0.9530
33	0.062257	0.081866	25.0339	0.9526
34	0.060996	0.075803	25.7532	0.9542
35	0.060716	0.081792	25.2672	0.9544
36	0.057815	0.084211	24.8836	0.9543
37	0.058344	0.083065	25.3061	0.9540
38	0.060252	0.077799	25.3874	0.9546
39	0.057535	0.082263	24.9545	0.9554
40	0.057286	0.079996	25.3751	0.9556
41	0.057052	0.084092	24.8632	0.9554
42	0.055078	0.077018	25.8583	0.9545
43	0.055705	0.075890	25.5798	0.9552
44	0.057988	0.085936	24.3001	0.9543
45	0.059150	0.079613	25.1297	0.9549
46	0.060117	0.079888	25.0966	0.9562
47	0.058284	0.084403	24.2723	0.9532
48	0.057733	0.075750	25.6756	0.9569
49	0.055636	0.080020	25.1067	0.9570
50	0.054035	0.077920	25.7119	0.9573
51	0.053905	0.079183	25.2615	0.9577
52	0.058917	0.080884	23.9059	0.9545
53	0.057640	0.081245	25.2057	0.9569
54	0.054801	0.077594	25.3816	0.9577
55	0.053040	0.079868	25.3043	0.9569
56	0.055816	0.082186	25.0279	0.9569
57	0.051452	0.081449	25.1608	0.9563
58	0.054044	0.083722	24.6891	0.9527
59	0.053444	0.083191	24.7616	0.9563
60	0.055163	0.077894	25.3847	0.9593
61	0.054999	0.077933	25.4971	0.9576
62	0.052144	0.078467	25.3984	0.9587
63	0.051777	0.077691	25.5179	0.9588
64	0.052282	0.078587	25.5772	0.9573
65	0.052188	0.083036	25.1848	0.9547
66	0.050472	0.083323	24.9875	0.9577
67	0.051035	0.076238	25.6110	0.9589
68	0.049877	0.076196	25.7407	0.9594
69	0.048038	0.082071	25.4349	0.9577
70	0.048720	0.082526	25.2998	0.9574
71	0.051983	0.087684	22.9829	0.9505
72	0.056959	0.083491	25.2325	0.9571
73	0.056728	0.082705	24.9684	0.9596
74	0.053549	0.080899	25.0999	0.9578
75	0.052835	0.077770	25.5938	0.9583
76	0.049593	0.079213	25.4747	0.9577
77	0.049634	0.080640	25.5768	0.9564
78	0.054147	0.083029	24.6208	0.9552
79	0.052722	0.090340	23.9754	0.9533
80	0.057239	0.078376	25.4136	0.9559
81	0.052025	0.084570	25.3008	0.9571
82	0.048526	0.076254	25.4809	0.9605
83	0.050473	0.078736	25.1214	0.9607
84	0.047765	0.080452	25.6809	0.9562
85	0.045798	0.082067	24.8554	0.9609
86	0.048888	0.075309	25.8754	0.9595
87	0.048080	0.081911	25.1494	0.9593
88	0.048622	0.085457	25.1785	0.9566
89	0.047086	0.080334	25.4188	0.9584
90	0.047336	0.082219	25.2330	0.9596
91	0.046153	0.084164	25.2874	0.9573
92	0.044830	0.080057	25.6983	0.9591
93	0.045805	0.075620	25.9055	0.9595
94	0.046194	0.074860	25.9112	0.9577
95	0.044265	0.078359	25.7270	0.9602
96	0.043371	0.075866	25.8953	0.9605
97	0.043749	0.081009	25.4987	0.9606
98	0.043999	0.081777	25.3346	0.9581
99	0.045376	0.079956	25.4539	0.9599
100	0.042977	0.073456	26.2067	0.9608
